feasible,onboard_count,lat,lon,pickup_1_lat,pickup_1_lon,pickup_1_maxtime,dropoff_1_lat,dropoff_1_lon,dropoff_1_maxtime,pickup_2_lat,pickup_2_lon,pickup_2_maxtime,dropoff_2_lat,dropoff_2_lon,dropoff_2_maxtime,pickup_3_lat,pickup_3_lon,pickup_3_maxtime,dropoff_3_lat,dropoff_3_lon,dropoff_3_maxtime
true,0,50077651,14460964,50071105,14464232,211,50022516,14494846,1051,50078010,14463416,219,50038589,14474769,861,50076942,14463627,223,50026414,14492197,1084
true,0,50077651,14460964,50077884,14463446,225,50085591,14408381,806,50079815,14445959,233,50086744,14436739,379,50079030,14455077,236,50108473,14375005,1186
false,0,50073626,14406606,50072387,14395907,212,50071758,14401049,266,50071299,14408679,232,50106108,14272610,1740,50076636,14408384,238,50075738,14355018,788
false,0,50045929,14332183,50039796,14340144,222,50067796,14469753,1631,50043827,14339367,223,50074301,14537554,2323,50044591,14334912,233,50039833,14411571,1027
true,0,50058221,14554189,50061216,14557379,214,50093052,14443520,1493,50060830,14556595,215,50093895,14438505,1542,50060830,14556595,215,50094955,14501589,1002
true,0,50058221,14554189,50061216,14557379,214,50093052,14443520,1493,50060830,14556595,215,50093895,14438505,1542,50060830,14556595,215,50098484,14428023,1670
true,0,50058221,14554189,50061216,14557379,214,50093052,14443520,1493,50060830,14556595,215,50094955,14501589,1002,50060830,14556595,215,50098484,14428023,1670
true,0,50058221,14554189,50060830,14556595,215,50093895,14438505,1542,50060830,14556595,215,50094955,14501589,1002,50060830,14556595,215,50098484,14428023,1670
true,0,50065216,14303829,50065704,14300660,215,50107670,14464972,2036,50061850,14306383,217,50075738,14355018,765,50066020,14312659,228,50075115,14397060,1110
true,0,50065216,14303829,50061850,14306383,217,50075738,14355018,765,50066725,14308513,222,50073247,14484442,2038,50066020,14312659,228,50075115,14397060,1110
true,0,50108696,14498316,50106699,14492602,224,50055056,14287037,2498,50110703,14501087,228,50092881,14441998,900,50106200,14491207,232,50093052,14443520,766
true,0,50108696,14498316,50106699,14492602,224,50055056,14287037,2498,50110703,14501087,228,50092881,14441998,900,50108488,14500337,235,50091040,14449184,831
true,0,50108696,14498316,50106699,14492602,224,50055056,14287037,2498,50106200,14491207,232,50093052,14443520,766,50108488,14500337,235,50091040,14449184,831
true,0,50108696,14498316,50110703,14501087,228,50092881,14441998,900,50110733,14506789,232,50092098,14433357,1045,50108488,14500337,235,50091040,14449184,831
true,0,50108696,14498316,50110703,14501087,228,50092881,14441998,900,50106200,14491207,232,50093052,14443520,766,50108488,14500337,235,50091040,14449184,831
